first_name,total_score,time_difference
S01,0.0,01:54:45
S02,20.0,01:38:02
S03,30.0,02:26:37
S04,0.0,01:58:13
S05,20.0,02:15:52
S06,30.0,02:12:14
S07,10.0,00:57:59
S08,20.0,02:20:25
S09,6.0,02:24:24
S10,20.0,01:40:55
S11,0.0,00:26:39
S12,10.0,02:44:30
S13,6.0,02:36:13
S14,10.0,02:41:35
S15,0.0,00:54:54
S16,10.0,02:11:43
S17,0.0,00:49:20
S18,20.0,01:37:16
S19,20.0,00:37:35
S21,28.0,02:17:40
S22,20.0,02:56:49
S23,0.0,01:04:31
S25,22.0,02:59:09
S26,22.0,02:50:29
S27,20.0,02:57:18
S28,30.0,02:19:12
S29,12.0,02:49:44
S30,20.0,02:05:11
S31,32.0,02:59:38
S32,10.0,01:52:18
S33,10.0,01:06:01
S34,38.0,02:58:53
S35,0.0,01:57:14
S36,10.0,01:22:30
S37,20.0,02:45:08
S38,10.0,01:33:06
S39,30.0,02:53:32
S40,50.0,02:29:47
S41,0.0,00:29:58
S42,22.0,02:44:05
S43,10.0,01:50:29
S44,0.0,01:07:02
S46,20.0,02:20:40
S47,22.0,02:42:34
S49,30.0,02:19:05
S50,12.0,02:33:29
S51,14.0,01:41:02
S53,30.0,02:49:14
S54,0.0,01:05:03
S55,10.0,00:09:51
S56,10.0,02:57:48
S58,46.0,02:45:36
S59,46.0,02:31:39
S60,20.0,02:26:40
S61,32.0,02:19:14
S62,10.0,02:00:26
S63,40.0,02:31:53
S65,34.0,02:33:35
