first_name,total_score,timestamp
S02,20.0,2024-11-12 02:13:02
S03,30.0,2024-11-12 03:01:37
S05,20.0,2024-11-12 01:50:35
S06,30.0,2024-11-12 02:47:14
S07,10.0,2024-11-12 01:32:59
S08,20.0,2024-11-12 01:23:38
S09,6.0,2024-11-12 03:08:43
S10,20.0,2024-11-12 01:35:30
S12,10.0,2024-11-12 01:17:21
S13,6.0,2024-11-12 02:46:36
S14,10.0,2024-11-12 00:44:17
S16,10.0,2024-11-12 00:56:52
S18,20.0,2024-11-12 02:12:16
S19,20.0,2024-11-12 01:12:35
S21,28.0,2024-11-12 02:50:13
S22,20.0,2024-11-12 03:31:49
S25,22.0,2024-11-12 03:34:09
S26,22.0,2024-11-12 03:34:28
S27,20.0,2024-11-12 03:28:01
S28,30.0,2024-11-12 02:54:12
S29,12.0,2024-11-12 03:24:44
S30,20.0,2024-11-12 01:22:05
S31,32.0,2024-11-12 03:32:08
S32,10.0,2024-11-12 00:48:39
S33,10.0,2024-11-12 01:41:01
S34,38.0,2024-11-12 02:25:49
S36,10.0,2024-11-12 01:12:52
S37,20.0,2024-11-12 02:34:34
S38,10.0,2024-11-12 02:08:06
S39,30.0,2024-11-12 03:28:32
S40,50.0,2024-11-12 03:34:40
S42,22.0,2024-11-12 03:25:58
S43,10.0,2024-11-12 01:39:46
S46,20.0,2024-11-12 02:55:40
S47,22.0,2024-11-12 03:33:14
S49,30.0,2024-11-12 02:15:05
S50,12.0,2024-11-12 03:03:06
S51,14.0,2024-11-12 03:28:00
S53,30.0,2024-11-12 01:48:42
S55,10.0,2024-11-12 00:44:51
S56,10.0,2024-11-12 01:04:24
S58,46.0,2024-11-12 03:20:36
S59,46.0,2024-11-12 03:23:58
S60,20.0,2024-11-12 00:58:15
S61,32.0,2024-11-12 02:54:14
S62,10.0,2024-11-12 02:35:26
S63,40.0,2024-11-12 02:22:49
S65,34.0,2024-11-12 03:06:00
test,200.0,2024-11-12 02:43:37
