first_name,total_score,time_difference
S01,0.0,01:54:45
S02,40.0,01:38:02
S03,72.0,01:40:18
S04,0.0,01:58:13
S05,52.0,02:15:52
S06,76.0,01:15:45
S07,20.0,00:53:22
S08,40.0,02:20:25
S09,48.0,02:24:24
S10,40.0,01:40:55
S11,0.0,00:26:39
S12,20.0,02:44:30
S13,32.0,02:36:13
S14,20.0,02:41:35
S15,0.0,00:54:54
S16,20.0,02:11:43
S17,0.0,00:49:20
S18,48.0,01:37:16
S19,40.0,00:37:35
S21,120.0,02:17:40
S22,40.0,02:05:54
S23,0.0,01:04:31
S25,44.0,02:59:09
S26,68.0,02:48:26
S27,140.0,02:57:18
S28,60.0,02:19:12
S29,36.0,01:44:25
S30,40.0,02:05:11
S31,76.0,02:59:38
S32,20.0,01:52:18
S33,20.0,00:25:20
S34,92.0,02:58:53
S35,0.0,01:57:14
S36,28.0,01:22:30
S37,52.0,02:45:08
S38,20.0,00:17:54
S39,80.0,01:07:58
S40,376.0,01:49:49
S41,0.0,00:29:58
S42,52.0,02:39:02
S43,20.0,01:50:29
S44,0.0,01:07:02
S46,40.0,02:20:40
S47,88.0,02:32:29
S49,72.0,02:19:05
S50,24.0,02:33:29
S51,40.0,01:37:17
S53,60.0,02:49:14
S54,0.0,01:05:03
S55,20.0,00:09:51
S56,24.0,02:57:48
S58,100.0,02:44:20
S59,124.0,02:31:39
S60,40.0,02:26:40
S61,124.0,01:42:17
S62,20.0,01:25:24
S63,80.0,02:31:53
S65,116.0,02:33:35
